Date,Region,Category,Sales,Cost
2023-01-05,Banadir,Clothing,1500,800
2023-01-12,Puntland,Electronics,5000,3500
2023-01-18,Somaliland,Home,2000,1200
2023-02-03,Banadir,Electronics,4500,3000
2023-02-14,Jubaland,Clothing,1200,600
2023-03-01,Galmudug,Home,1800,1000
2023-03-10,Banadir,Electronics,5200,3800
2023-04-05,HIRSHABELLE,Clothing,1300,700
2023-04-20,Puntland,Home,2200,1300
2023-05-02,South West,Electronics,4800,3200
2023-05-15,Banadir,Clothing,1600,850
2023-06-01,Somaliland,Electronics,5100,3600
2023-06-10,Puntland,Clothing,1400,750
2023-07-04,Jubaland,Home,1900,1100
2023-07-20,Banadir,Electronics,5300,3900
