OrderID,OrderDate,CustomerID,ProductID,RegionID,Quantity,Revenue,Cost
ORD-00001,2025-05-15,CUST-023,PROD-001,6,1,20.53,10.45
ORD-00002,2024-11-10,CUST-002,PROD-017,2,2,809.25,536.86
ORD-00003,2024-03-21,CUST-043,PROD-001,2,1,23.29,15.02
ORD-00004,2025-06-29,CUST-034,PROD-017,6,2,821.76,445.87
ORD-00005,2025-07-16,CUST-036,PROD-015,3,2,519.87,344.01
ORD-00006,2025-03-09,CUST-011,PROD-005,9,2,121.41,76.07
ORD-00007,2025-12-07,CUST-043,PROD-006,1,2,635.96,330.51
ORD-00008,2025-11-18,CUST-042,PROD-010,9,3,1043.19,579.25
ORD-00009,2024-05-03,CUST-009,PROD-020,10,2,810.97,406.64
ORD-00010,2025-08-25,CUST-004,PROD-020,10,5,2029.74,945.99
ORD-00011,2024-03-13,CUST-003,PROD-011,5,1,81.51,54.74
ORD-00012,2024-12-04,CUST-018,PROD-019,8,1,334.97,161.97
ORD-00013,2025-05-12,CUST-007,PROD-008,10,2,434.5,268.09
ORD-00014,2025-08-07,CUST-020,PROD-012,9,5,275.73,175.19
ORD-00015,2025-02-20,CUST-025,PROD-014,6,2,745.18,445.39
ORD-00016,2024-12-28,CUST-008,PROD-004,2,4,1176.07,775.21
ORD-00017,2024-02-25,CUST-035,PROD-005,8,1,51.0,31.54
ORD-00018,2024-04-21,CUST-003,PROD-013,7,2,798.08,447.63
ORD-00019,2024-05-23,CUST-013,PROD-009,5,4,548.19,295.36
ORD-00020,2024-03-18,CUST-019,PROD-009,9,4,621.29,408.06
ORD-00021,2024-04-10,CUST-049,PROD-018,9,1,107.39,60.37
ORD-00022,2024-01-16,CUST-047,PROD-004,4,1,324.87,212.66
ORD-00023,2024-06-19,CUST-008,PROD-008,6,4,859.76,399.04
ORD-00024,2025-02-14,CUST-026,PROD-010,5,1,328.47,131.6
ORD-00025,2025-02-03,CUST-043,PROD-020,8,3,1397.14,887.94
ORD-00026,2024-10-19,CUST-036,PROD-010,9,4,1463.73,906.27
ORD-00027,2025-07-23,CUST-026,PROD-009,2,4,544.83,266.43
ORD-00028,2024-02-29,CUST-048,PROD-015,1,5,1428.05,597.34
ORD-00029,2024-11-17,CUST-042,PROD-013,7,1,387.01,210.16
ORD-00030,2025-06-27,CUST-045,PROD-013,4,2,775.16,428.16
ORD-00031,2024-07-09,CUST-037,PROD-015,5,1,277.93,167.47
ORD-00032,2024-08-28,CUST-045,PROD-005,10,4,206.64,137.85
ORD-00033,2024-09-09,CUST-031,PROD-019,5,5,1701.67,996.86
ORD-00034,2025-03-05,CUST-027,PROD-013,6,5,2154.09,1066.08
ORD-00035,2024-09-24,CUST-043,PROD-005,7,2,115.62,57.15
ORD-00036,2024-09-28,CUST-028,PROD-004,3,4,1108.97,658.34
ORD-00037,2025-04-13,CUST-023,PROD-020,1,3,1397.79,951.5
ORD-00038,2024-01-10,CUST-027,PROD-019,8,4,1368.46,778.51
ORD-00039,2024-04-12,CUST-014,PROD-008,6,1,217.18,119.83
ORD-00040,2024-05-15,CUST-017,PROD-005,5,3,180.51,119.82
ORD-00041,2025-01-13,CUST-041,PROD-018,10,3,291.26,189.35
ORD-00042,2025-12-21,CUST-010,PROD-011,3,3,264.31,184.0
ORD-00043,2025-10-31,CUST-011,PROD-016,2,5,1264.44,815.73
ORD-00044,2024-11-02,CUST-049,PROD-005,10,1,60.82,26.78
ORD-00045,2024-04-28,CUST-019,PROD-013,5,1,445.89,199.15
ORD-00046,2024-10-15,CUST-021,PROD-014,3,5,1910.11,960.53
ORD-00047,2025-12-04,CUST-018,PROD-016,9,3,842.41,400.43
ORD-00048,2024-02-22,CUST-022,PROD-004,9,1,307.38,199.43
ORD-00049,2024-02-15,CUST-003,PROD-014,2,1,391.99,172.18
ORD-00050,2024-09-25,CUST-049,PROD-005,5,2,117.21,66.28
ORD-00051,2025-03-13,CUST-018,PROD-005,2,5,252.14,106.55
ORD-00052,2025-12-08,CUST-002,PROD-019,6,2,674.13,438.44
ORD-00053,2025-08-19,CUST-014,PROD-007,1,5,1677.26,735.03
ORD-00054,2024-11-11,CUST-011,PROD-003,1,3,1106.51,706.88
ORD-00055,2024-02-10,CUST-036,PROD-007,3,3,1019.78,484.25
ORD-00056,2024-04-15,CUST-046,PROD-012,7,3,175.67,116.86
ORD-00057,2025-02-20,CUST-024,PROD-013,2,5,2232.45,1513.0
ORD-00058,2024-08-30,CUST-007,PROD-015,2,2,597.45,384.3
ORD-00059,2025-02-26,CUST-030,PROD-006,7,1,285.43,193.33
ORD-00060,2025-02-25,CUST-006,PROD-017,10,2,846.34,538.45
ORD-00061,2024-04-20,CUST-039,PROD-002,7,4,513.02,337.35
ORD-00062,2024-08-15,CUST-046,PROD-018,4,2,221.64,119.26
ORD-00063,2024-11-08,CUST-022,PROD-001,5,2,42.05,25.15
ORD-00064,2025-02-12,CUST-017,PROD-014,1,3,1162.61,489.26
ORD-00065,2024-10-12,CUST-035,PROD-010,7,3,1086.16,564.7
ORD-00066,2025-07-03,CUST-035,PROD-012,3,3,180.96,78.65
ORD-00067,2024-09-24,CUST-006,PROD-019,10,2,678.81,471.82
ORD-00068,2024-02-09,CUST-015,PROD-011,8,1,87.84,44.25
ORD-00069,2024-11-17,CUST-004,PROD-003,6,4,1395.34,772.22
ORD-00070,2025-01-29,CUST-045,PROD-014,1,5,1901.78,786.04
ORD-00071,2025-03-22,CUST-016,PROD-003,3,1,342.94,220.15
ORD-00072,2025-12-04,CUST-039,PROD-012,7,2,107.89,45.42
ORD-00073,2025-11-11,CUST-028,PROD-013,9,3,1307.23,783.05
ORD-00074,2024-05-07,CUST-020,PROD-008,1,3,647.6,388.6
ORD-00075,2024-11-30,CUST-033,PROD-003,9,4,1420.21,804.3
ORD-00076,2024-07-15,CUST-025,PROD-008,1,4,890.68,457.58
ORD-00077,2024-06-27,CUST-033,PROD-003,3,5,1731.5,903.54
ORD-00078,2024-01-01,CUST-021,PROD-014,6,3,1164.63,616.05
ORD-00079,2025-08-16,CUST-044,PROD-008,7,5,1111.15,599.46
ORD-00080,2025-03-28,CUST-038,PROD-012,6,2,111.15,70.93
ORD-00081,2024-06-22,CUST-034,PROD-015,1,1,260.96,156.36
ORD-00082,2025-09-26,CUST-021,PROD-014,4,3,1117.54,766.19
ORD-00083,2024-08-28,CUST-001,PROD-006,10,3,864.58,397.48
ORD-00084,2024-01-26,CUST-041,PROD-015,7,1,258.83,140.43
ORD-00085,2024-03-15,CUST-021,PROD-007,7,4,1418.7,835.51
ORD-00086,2024-07-18,CUST-001,PROD-018,4,4,416.41,197.04
ORD-00087,2025-11-02,CUST-037,PROD-005,5,1,60.3,39.69
ORD-00088,2024-04-19,CUST-011,PROD-008,7,4,813.75,521.8
ORD-00089,2025-12-13,CUST-047,PROD-006,2,5,1514.14,858.85
ORD-00090,2024-05-04,CUST-009,PROD-017,1,4,1645.28,887.45
ORD-00091,2025-06-27,CUST-011,PROD-003,9,5,1740.5,1192.26
ORD-00092,2025-03-29,CUST-012,PROD-003,5,5,1815.5,1212.04
ORD-00093,2025-03-12,CUST-018,PROD-010,10,5,1741.41,779.71
ORD-00094,2025-05-01,CUST-004,PROD-011,1,4,328.12,155.59
ORD-00095,2025-10-14,CUST-038,PROD-008,6,3,681.06,378.93
ORD-00096,2025-10-03,CUST-048,PROD-016,9,2,535.71,226.74
ORD-00097,2024-10-19,CUST-039,PROD-016,7,2,535.39,265.51
ORD-00098,2025-07-07,CUST-022,PROD-017,1,1,411.77,193.28
ORD-00099,2025-12-11,CUST-006,PROD-005,8,2,116.44,48.82
ORD-00100,2025-02-21,CUST-011,PROD-003,9,3,1033.47,542.3
ORD-00101,2024-07-30,CUST-050,PROD-016,4,4,1097.2,692.27
ORD-00102,2025-12-13,CUST-013,PROD-011,1,1,92.33,58.14
ORD-00103,2025-01-24,CUST-001,PROD-013,6,4,1532.98,774.96
ORD-00104,2025-02-03,CUST-010,PROD-004,1,4,1206.51,748.51
ORD-00105,2025-09-09,CUST-043,PROD-014,4,2,809.07,389.88
ORD-00106,2025-05-12,CUST-044,PROD-017,2,1,434.0,260.69
ORD-00107,2025-02-18,CUST-035,PROD-015,6,2,582.65,393.79
ORD-00108,2025-09-29,CUST-037,PROD-015,3,5,1234.73,639.84
ORD-00109,2025-07-31,CUST-022,PROD-006,3,1,279.61,147.8
ORD-00110,2025-04-17,CUST-001,PROD-006,1,2,555.12,285.18
ORD-00111,2024-08-04,CUST-040,PROD-004,4,4,1155.89,726.33
ORD-00112,2025-01-23,CUST-027,PROD-009,8,3,461.05,299.49
ORD-00113,2024-09-15,CUST-011,PROD-004,2,1,297.56,185.89
ORD-00114,2024-02-23,CUST-041,PROD-001,3,3,63.1,26.54
ORD-00115,2025-10-29,CUST-041,PROD-018,3,1,109.52,75.01
ORD-00116,2024-07-23,CUST-007,PROD-001,6,1,22.8,10.75
ORD-00117,2025-04-29,CUST-032,PROD-011,4,1,87.28,40.62
ORD-00118,2025-12-17,CUST-020,PROD-001,4,3,70.34,31.68
ORD-00119,2025-09-13,CUST-029,PROD-015,7,1,287.9,129.3
ORD-00120,2024-11-14,CUST-004,PROD-013,10,1,431.96,293.16
ORD-00121,2025-08-12,CUST-023,PROD-006,6,4,1194.74,734.17
ORD-00122,2024-03-18,CUST-042,PROD-016,10,5,1455.97,856.36
ORD-00123,2024-04-14,CUST-012,PROD-010,5,3,1130.27,655.7
ORD-00124,2024-05-03,CUST-034,PROD-011,9,5,455.26,229.52
ORD-00125,2025-03-14,CUST-017,PROD-013,8,3,1165.82,692.8
ORD-00126,2024-01-13,CUST-004,PROD-012,3,4,236.1,101.92
ORD-00127,2025-01-05,CUST-046,PROD-006,2,4,1270.54,674.21
ORD-00128,2025-06-18,CUST-006,PROD-016,5,3,861.01,581.94
ORD-00129,2025-05-10,CUST-036,PROD-008,1,4,851.13,527.11
ORD-00130,2024-10-01,CUST-001,PROD-011,6,3,276.73,179.66
ORD-00131,2024-03-29,CUST-023,PROD-003,4,3,1102.95,521.87
ORD-00132,2025-04-20,CUST-050,PROD-012,5,5,283.37,145.57
ORD-00133,2024-01-30,CUST-043,PROD-018,2,4,446.14,202.79
ORD-00134,2024-08-05,CUST-046,PROD-017,3,3,1410.93,708.43
ORD-00135,2025-09-02,CUST-008,PROD-010,8,3,1068.06,592.76
ORD-00136,2024-07-14,CUST-021,PROD-017,4,1,420.91,219.68
ORD-00137,2025-07-22,CUST-050,PROD-010,10,2,731.02,434.06
ORD-00138,2025-05-17,CUST-042,PROD-006,9,4,1291.43,552.62
ORD-00139,2024-08-14,CUST-040,PROD-012,8,4,230.31,113.28
ORD-00140,2025-08-18,CUST-008,PROD-018,7,3,310.99,173.93
ORD-00141,2025-03-11,CUST-046,PROD-005,2,5,270.09,164.99
ORD-00142,2024-10-04,CUST-016,PROD-003,5,3,973.79,424.76
ORD-00143,2024-07-16,CUST-004,PROD-015,5,3,755.99,423.93
ORD-00144,2025-12-07,CUST-033,PROD-017,9,2,832.97,517.76
ORD-00145,2024-10-10,CUST-022,PROD-020,10,5,2350.07,1309.91
ORD-00146,2024-10-16,CUST-022,PROD-010,9,1,375.51,183.58
ORD-00147,2025-01-04,CUST-040,PROD-004,8,2,575.0,352.13
ORD-00148,2024-05-09,CUST-032,PROD-008,9,3,587.9,244.78
ORD-00149,2024-10-26,CUST-043,PROD-007,2,2,741.6,464.12
ORD-00150,2024-04-15,CUST-013,PROD-010,8,1,357.31,193.24
ORD-00151,2025-03-27,CUST-011,PROD-007,10,3,1014.21,421.32
ORD-00152,2025-05-04,CUST-031,PROD-016,2,1,298.57,155.32
ORD-00153,2024-03-16,CUST-029,PROD-012,5,5,284.43,118.35
ORD-00154,2024-06-01,CUST-038,PROD-015,7,5,1486.25,632.48
