OrderID,Date,Product,Category,Quantity,UnitPrice,Cost
1001,2024-01-01,Laptop,Electronics,1,1200,800
1002,2024-01-01,Mouse,Accessories,5,25,10
1003,2024-01-02,Desk Chair,Furniture,2,150,80
1004,2024-01-02,Monitor,Electronics,3,300,180
1005,2024-01-03,Keyboard,Accessories,4,50,25
1006,2024-01-03,Laptop,Electronics,2,1200,800
1007,2024-01-04,Bookshelf,Furniture,1,80,40
1008,2024-01-05,Mouse,Accessories,10,25,10
1009,2024-01-05,Headphones,Electronics,5,100,50
1010,2024-01-06,Smart Watch,Electronics,3,250,150
